rank,topic,repo_name,stars,forks,language,repo_url,owner,open_issues,last_commit,description
1,"blockchain","union",73977,3884,"Rust","https://github.com/unionlabs/union","unionlabs",129,"2026-06-08T22:38:41Z","The trust-minimized, zero-knowledge bridging protocol, designed for censorship resistance, extremely high security, and usage in decentralized finance."
2,"blockchain","fuel-core",57022,2864,"Rust","https://github.com/FuelLabs/fuel-core","FuelLabs",161,"2026-06-07T00:55:40Z","Rust full node implementation of the Fuel v2 protocol."
3,"blockchain","go-ethereum",51119,21926,"Go","https://github.com/ethereum/go-ethereum","ethereum",179,"2026-06-09T16:13:24Z","Go implementation of the Ethereum protocol"
4,"blockchain","anoma",33799,4116,"Elixir","https://github.com/anoma/anoma","anoma",90,"2026-06-02T10:45:38Z","Reference implementation of Anoma"
5,"blockchain","linera-protocol",32099,2354,"Rust","https://github.com/linera-io/linera-protocol","linera-io",596,"2026-06-09T21:01:08Z","Main repository for the Linera protocol"
6,"blockchain","shardeum",31398,704,"TypeScript","https://github.com/shardeum/shardeum","shardeum",5,"2025-09-15T10:43:50Z","Shardeum is an EVM based autoscaling blockchain"
7,"blockchain","hey-1",29395,1807,"TypeScript","https://github.com/slymnoyann/hey-1","slymnoyann",0,"2026-05-13T15:47:46Z","Hey is a decentralized and permissionless social media app built with Lens Protocol 🌿"
8,"blockchain","solidity",25653,6118,"C++","https://github.com/argotorg/solidity","argotorg",663,"2026-06-09T16:58:29Z","Solidity, the Smart Contract Programming Language"
9,"blockchain","fhevm",25237,2032,"Rust","https://github.com/zama-ai/fhevm","zama-ai",25,"2026-06-09T15:51:08Z","FHEVM, a full-stack framework for integrating Fully Homomorphic Encryption (FHE) with blockchain applications"
10,"blockchain","bitcoinbook",25215,6201,"HTML","https://github.com/bitcoinbook/bitcoinbook","bitcoinbook",96,"2024-12-26T18:18:32Z","Mastering Bitcoin 3rd Edition - Programming the Open Blockchain"
11,"blockchain","ethereumbook",21521,5194,"","https://github.com/ethereumbook/ethereumbook","ethereumbook",0,"2026-05-13T14:04:25Z","Mastering Ethereum: 2nd Edition, by Andreas M. Antonopoulos, Gavin Wood, Carlo Parisi, Alessandro Mazza, Niccolò Pozzolini"
12,"blockchain","gun",19053,1240,"JavaScript","https://github.com/amark/gun","amark",274,"2026-03-01T01:57:28Z","An open source cybersecurity protocol for syncing decentralized graph data."
13,"blockchain","awesome-blockchain-cn",18954,3630,"JavaScript","https://github.com/chaozh/awesome-blockchain-cn","chaozh",4,"2024-02-29T07:33:18Z","收集所有区块链(BlockChain)技术开发相关资料，包括Fabric和Ethereum开发资料"
14,"blockchain","Qbot",17585,2475,"Jupyter Notebook","https://github.com/UFund-Me/Qbot","UFund-Me",67,"2026-03-11T12:16:42Z","[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant"
15,"blockchain","diem",16678,2552,"Rust","https://github.com/diem/diem","diem",361,"2026-06-09T05:52:24Z","Diem’s mission is to build a trusted and innovative financial network that empowers people and businesses around the world."
16,"blockchain","fabric",16656,9106,"Go","https://github.com/hyperledger/fabric","hyperledger",181,"2026-06-08T14:45:04Z","Hyperledger Fabric is an enterprise-grade permissioned distributed ledger framework for developing solutions and applications. Its modular and versatile design satisfies a broad range of industry use cases. It offers a unique approach to consensus that enables performance at scale while preserving privacy."
17,"blockchain","solana",14903,5709,"Rust","https://github.com/solana-labs/solana","solana-labs",265,"2025-01-22T19:41:54Z","Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces."
18,"blockchain","full-blockchain-solidity-course-js",14011,3283,"","https://github.com/smartcontractkit/full-blockchain-solidity-course-js","smartcontractkit",94,"2024-06-12T05:10:25Z","Learn Blockchain, Solidity, and Full Stack Web3 Development with Javascript"
19,"blockchain","WTF-Solidity",13995,2421,"Solidity","https://github.com/AmazingAng/WTF-Solidity","AmazingAng",7,"2026-05-18T09:24:02Z","WTF Solidity 极简入门教程，供小白们使用。Now supports English! 官网: https://wtf.academy"
20,"blockchain","truffle",13935,2297,"TypeScript","https://github.com/ConsenSys-archive/truffle","ConsenSys-archive",508,"2024-04-22T08:47:19Z",":warning: The Truffle Suite is being sunset. For information on ongoing support, migration options and FAQs, visit the Consensys blog. Thank you for all the support over the years."
